,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,Min,Best Epoch,average FID
BCE,lambda\Epoch,0,2,4,6,8,10,,,,,,
,1,301,167,167,131,113,205,,,,113,8,180.6666666667
,5,283,253,103,110,121,105,,,,103,4,162.5
,10,244,244,196,173,159,132,,,,132,10,191.3333333333
,20,324,272,227,136,160,112,,,,112,10,205.1666666667
,30,273,318,245,203,146,169,,,,146,8,225.6666666667
,50,304,337,188,201,247,124,,,,124,10,233.5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MSE,5,274,187,226,313,234,,,,,,,
,10,252,357,225,189,194,309,283,,,189,6,254.3333333333
,20,271,237,261,262,251,,,,,237,4,256.4
